Total method loc: 10188
Total method aloc: 13870.30
Code compression rate: 26.55%
==============================
method	sloc	dloc	ncalls
com/android/deskclock/alarms/AlarmKlaxon.start:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;Z;)V	35	18.13	1
com/android/deskclock/alarms/AlarmKlaxon$.onError:(Landroid/media/MediaPlayer;I;I;)Z	3	3.00	1
com/android/deskclock/alarms/AlarmKlaxon.startAlarm:(Landroid/content/Context;Landroid/media/MediaPlayer;)V	7	4.50	2
com/android/deskclock/alarms/AlarmKlaxon.stop:(Landroid/content/Context;)V	10	4.75	3
com/android/deskclock/alarms/AlarmNotifications.broadcastNextAlarm:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	10	9.00	1
com/android/deskclock/alarms/AlarmNotifications.clearNotification:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	3	3.00	3
com/android/deskclock/alarms/AlarmNotifications.showAlarmNotification:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	20	20.00	1
com/android/deskclock/alarms/AlarmNotifications.showHighPriorityNotification:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	14	14.00	1
com/android/deskclock/alarms/AlarmNotifications.showLowPriorityNotification:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	16	16.00	1
com/android/deskclock/alarms/AlarmNotifications.showMissedNotification:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	13	13.00	1
com/android/deskclock/alarms/AlarmNotifications.showSnoozeNotification:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	14	14.00	2
com/android/deskclock/alarms/AlarmService$.onCallStateChanged:(I;Ljava/lang/String;)V	2	1.50	1
com/android/deskclock/alarms/AlarmService.onBind:(Landroid/content/Intent;)Landroid/os/IBinder	1	1.00	1
com/android/deskclock/alarms/AlarmService.onStartCommand:(Landroid/content/Intent;I;I;)I	20	10.38	1
com/android/deskclock/alarms/AlarmService.onCreate:()V	2	2.00	1
com/android/deskclock/alarms/AlarmService.onDestroy:()V	3	3.00	1
com/android/deskclock/alarms/AlarmService.startAlarm:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	4	4.00	1
com/android/deskclock/alarms/AlarmService.startAlarm:(Lcom/android/deskclock/provider/AlarmInstance;)V	12	11.00	1
com/android/deskclock/alarms/AlarmService.stopAlarm:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	3	3.00	3
com/android/deskclock/alarms/AlarmService.stopCurrentAlarm:()V	9	8.00	2
com/android/deskclock/alarms/AlarmStateManager.createStateChangeIntent:(Landroid/content/Context;Ljava/lang/String;Lcom/android/deskclock/provider/AlarmInstance;Ljava/lang/Integer;)Landroid/content/Intent	7	6.50	10
com/android/deskclock/alarms/AlarmStateManager.getGlobalIntentId:(Landroid/content/Context;)I	2	2.00	2
