Total method loc: 8777.0
Total method aloc: 12259.75
Code compression rate: 28.4080017944901%
==============================
method	sloc	dloc	ncalls
com/github/mobile/accounts/LoginActivity.onOptionsItemSelected:(Lcom/actionbarsherlock/view/MenuItem;)Z	6	4.50	1
com/github/mobile/accounts/LoginActivity.getEmailAddresses:()Ljava/util/List	5	4.50	1
com/github/mobile/accounts/LoginActivity.configureSyncFor:(Landroid/accounts/Account;)V	4	4.00	2
com/github/mobile/accounts/LoginActivity.finishConfirmCredentials:(Z;)V	7	7.00	1
com/github/mobile/accounts/LoginActivity.finishLogin:(Ljava/lang/String;Ljava/lang/String;)V	8	7.50	2
com/github/mobile/accounts/LoginActivity.handleLogin:()V	46	45.50	3
com/github/mobile/accounts/LoginActivity$.onCancel:(Landroid/content/DialogInterface;)V	2	1.50	1
com/github/mobile/accounts/LoginActivity$.call:()Lorg/eclipse/egit/github/core/User	21	17.00	1
com/github/mobile/accounts/LoginActivity$.onException:(Ljava/lang/Exception;)V	3	3.00	1
com/github/mobile/accounts/LoginActivity$.onSuccess:(Lorg/eclipse/egit/github/core/User;)V	3	2.50	1
com/github/mobile/accounts/LoginActivity.handleLoginException:(Ljava/lang/Exception;)V	4	3.00	2
com/github/mobile/accounts/LoginActivity.onActivityResult:(I;I;Landroid/content/Intent;)V	10	4.75	1
com/github/mobile/accounts/LoginActivity.onAuthenticationResult:(Z;)V	10	5.00	3
com/github/mobile/accounts/LoginActivity.onCreate:(Landroid/os/Bundle;)V	53	51.50	1
com/github/mobile/accounts/LoginActivity$.afterTextChanged:(Landroid/text/Editable;)V	1	1.00	1
com/github/mobile/accounts/LoginActivity$.onKey:(Landroid/view/View;I;Landroid/view/KeyEvent;)Z	5	3.50	1
com/github/mobile/accounts/LoginActivity$.onEditorAction:(Landroid/widget/TextView;I;Landroid/view/KeyEvent;)Z	4	3.00	1
com/github/mobile/accounts/LoginActivity$.onCheckedChanged:(Landroid/widget/CompoundButton;Z;)V	9	7.50	1
com/github/mobile/accounts/LoginActivity.onResume:()V	9	5.13	1
com/github/mobile/accounts/LoginActivity.openTwoFactorAuthActivity:()V	2	2.00	1
com/github/mobile/accounts/LoginActivity.sendSmsOtpCode:(Lorg/eclipse/egit/github/core/service/OAuthService;)V	3	3.00	1
com/github/mobile/accounts/LoginActivity.startActivity:(Landroid/content/Intent;)V	3	2.50	1
com/github/mobile/accounts/LoginActivity.updateEnablement:()V	2	1.50	2
com/github/mobile/accounts/ScopeBase$.get:()Ljava/lang/Object	1	1.00	7
com/github/mobile/accounts/ScopeBase.scope:(Lcom/google/inject/Key;Lcom/google/inject/Provider;)Lcom/google/inject/Provider	9	9.00	1
com/github/mobile/accounts/ScopeBase$.get:()LT	7	6.00	7
com/github/mobile/accounts/ScopeBase.seededKeyProvider:()Lcom/google/inject/Provider	1	1.00	1
com/github/mobile/accounts/TwoFactorAuthActivity.createIntent:(Landroid/content/Context;Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent	4	4.00	1
com/github/mobile/accounts/TwoFactorAuthActivity.loginEnabled:()Z	2	2.00	3
com/github/mobile/accounts/TwoFactorAuthActivity.onCreateOptionsMenu:(Lcom/actionbarsherlock/view/Menu;)Z	3	3.00	1
com/github/mobile/accounts/TwoFactorAuthActivity.onOptionsItemSelected:(Lcom/actionbarsherlock/view/MenuItem;)Z	6	4.50	1
com/github/mobile/accounts/TwoFactorAuthActivity.handleLogin:()V	40	40.00	3
com/github/mobile/accounts/TwoFactorAuthActivity$.onCancel:(Landroid/content/DialogInterface;)V	2	1.50	1
com/github/mobile/accounts/TwoFactorAuthActivity$.call:()Lorg/eclipse/egit/github/core/User	16	16.00	1
com/github/mobile/accounts/TwoFactorAuthActivity$.onException:(Ljava/lang/Exception;)V	4	4.00	1
com/github/mobile/accounts/TwoFactorAuthActivity$.onSuccess:(Lorg/eclipse/egit/github/core/User;)V	3	3.00	1
com/github/mobile/accounts/TwoFactorAuthActivity.onCreate:(Landroid/os/Bundle;)V	31	31.00	1
com/github/mobile/accounts/TwoFactorAuthActivity$.afterTextChanged:(Landroid/text/Editable;)V	1	1.00	1
com/github/mobile/accounts/TwoFactorAuthActivity$.onKey:(Landroid/view/View;I;Landroid/view/KeyEvent;)Z	5	3.50	1
com/github/mobile/accounts/TwoFactorAuthActivity$.onEditorAction:(Landroid/widget/TextView;I;Landroid/view/KeyEvent;)Z	4	3.00	1
com/github/mobile/accounts/TwoFactorAuthActivity.onResume:()V	2	2.00	1
com/github/mobile/accounts/TwoFactorAuthActivity.updateEnablement:()V	2	1.50	2
com/github/mobile/accounts/TwoFactorAuthClient.<init>:()V	1	1.00	2
com/github/mobile/accounts/TwoFactorAuthClient.post:(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/reflect/Type;)LV	7	6.50	1
com/github/mobile/accounts/TwoFactorAuthClient.sendJson:(Ljava/net/HttpURLConnection;Ljava/lang/Object;Ljava/lang/reflect/Type;)LV	11	8.00	1
com/github/mobile/accounts/TwoFactorAuthClient.createTwoFactorAuthException:(Ljava/io/IOException;Ljava/lang/String;)Lcom/github/mobile/accounts/TwoFactorAuthException	6	5.00	1
com/github/mobile/accounts/TwoFactorAuthClient.checkTwoFactorAuthError:(Ljava/net/HttpURLConnection;Ljava/io/IOException;)Ljava/io/IOException	5	4.00	2
com/github/mobile/accounts/TwoFactorAuthClient.get:(Lorg/eclipse/egit/github/core/client/GitHubRequest;)Lorg/eclipse/egit/github/core/client/GitHubResponse	14	12.50	1
com/github/mobile/accounts/TwoFactorAuthClient.setOtpCode:(Ljava/lang/String;)V	1	1.00	1
com/github/mobile/accounts/TwoFactorAuthException.<init>:(Ljava/io/IOException;I;)V	2	2.00	1
com/github/mobile/accounts/TwoFactorAuthException.getCause:()Ljava/io/IOException	1	1.00	1
com/github/mobile/accounts/TwoFactorAuthException.getMessage:()Ljava/lang/String	1	1.00	16
com/github/mobile/core/code/FullTree$Entry.<init>:()V	3	3.00	1
com/github/mobile/core/code/FullTree$Entry.<init>:(Lorg/eclipse/egit/github/core/TreeEntry;Lcom/github/mobile/core/code/FullTree$Folder;)V	3	3.00	3
com/github/mobile/core/code/FullTree$Entry.compareTo:(Lcom/github/mobile/core/code/FullTree$Entry;)I	1	1.00	0
com/github/mobile/core/code/FullTree$Folder.<init>:()V	1	1.00	1
com/github/mobile/core/code/FullTree$Folder.<init>:(Lorg/eclipse/egit/github/core/TreeEntry;Lcom/github/mobile/core/code/FullTree$Folder;)V	1	1.00	2
com/github/mobile/core/code/FullTree$Folder.add:(Lorg/eclipse/egit/github/core/TreeEntry;)V	22	10.75	1
com/github/mobile/core/code/FullTree$Folder.addFile:(Lorg/eclipse/egit/github/core/TreeEntry;[Ljava/lang/String;I;)V	7	4.25	2
com/github/mobile/core/code/FullTree$Folder.addFolder:(Lorg/eclipse/egit/github/core/TreeEntry;[Ljava/lang/String;I;)V	7	4.25	2
com/github/mobile/core/code/FullTree.<init>:(Lorg/eclipse/egit/github/core/Tree;Lorg/eclipse/egit/github/core/Reference;)V	8	6.75	1
com/github/mobile/core/code/RefreshBlobTask.<init>:(Lorg/eclipse/egit/github/core/Repository;Ljava/lang/String;Landroid/content/Context;)V	3	3.00	2
com/github/mobile/core/code/RefreshBlobTask.run:(Landroid/accounts/Account;)Lorg/eclipse/egit/github/core/Blob	1	1.00	1
com/github/mobile/core/code/RefreshTreeTask.<init>:(Lorg/eclipse/egit/github/core/Repository;Lorg/eclipse/egit/github/core/Reference;Landroid/content/Context;)V	3	3.00	1
com/github/mobile/core/code/RefreshTreeTask.isValidRef:(Lorg/eclipse/egit/github/core/Reference;)Z	1	1.00	2
com/github/mobile/core/code/RefreshTreeTask.run:(Landroid/accounts/Account;)Lcom/github/mobile/core/code/FullTree	18	11.88	1
com/github/mobile/core/code/RefreshTreeTask.onException:(Ljava/lang/Exception;)V	2	2.00	1
com/github/mobile/core/commit/CommitCompareTask.<init>:(Landroid/content/Context;Lorg/eclipse/egit/github/core/IRepositoryIdProvider;Ljava/lang/String;Ljava/lang/String;)V	4	4.00	1
com/github/mobile/core/commit/CommitCompareTask.run:(Landroid/accounts/Account;)Lorg/eclipse/egit/github/core/RepositoryCommitCompare	1	1.00	1
com/github/mobile/core/commit/CommitCompareTask.onException:(Ljava/lang/Exception;)V	2	2.00	1
com/github/mobile/core/commit/CommitMatch.<init>:(Lorg/eclipse/egit/github/core/Repository;Ljava/lang/String;)V	2	2.00	2
com/github/mobile/core/commit/CommitPager.<init>:(Lorg/eclipse/egit/github/core/IRepositoryIdProvider;Lcom/github/mobile/core/commit/CommitStore;)V	2	2.00	1
com/github/mobile/core/commit/CommitPager.getId:(Lorg/eclipse/egit/github/core/RepositoryCommit;)Ljava/lang/Object	1	1.00	1
com/github/mobile/core/commit/CommitPager.register:(Lorg/eclipse/egit/github/core/RepositoryCommit;)Lorg/eclipse/egit/github/core/RepositoryCommit	1	1.00	1
com/github/mobile/core/commit/CommitStore.<init>:(Lorg/eclipse/egit/github/core/service/CommitService;)V	1	1.00	1
com/github/mobile/core/commit/CommitStore.addCommit:(Lorg/eclipse/egit/github/core/IRepositoryIdProvider;Lorg/eclipse/egit/github/core/RepositoryCommit;)Lorg/eclipse/egit/github/core/RepositoryCommit	19	10.50	2
com/github/mobile/core/commit/CommitStore.getCommit:(Lorg/eclipse/egit/github/core/IRepositoryIdProvider;Ljava/lang/String;)Lorg/eclipse/egit/github/core/RepositoryCommit	2	2.00	2
com/github/mobile/core/commit/CommitStore.refreshCommit:(Lorg/eclipse/egit/github/core/IRepositoryIdProvider;Ljava/lang/String;)Lorg/eclipse/egit/github/core/RepositoryCommit	1	1.00	1
com/github/mobile/core/commit/CommitUriMatcher.getCommit:(Landroid/net/Uri;)Lcom/github/mobile/core/commit/CommitMatch	20	17.00	1
com/github/mobile/core/commit/CommitUrlMatcher.getCommit:(Ljava/lang/String;)Lcom/github/mobile/core/commit/CommitMatch	9	8.50	2
com/github/mobile/core/commit/CommitUtils.bindAuthor:(Lorg/eclipse/egit/github/core/RepositoryCommit;Lcom/github/mobile/util/AvatarLoader;Landroid/widget/ImageView;)Landroid/widget/ImageView	8	5.75	2
com/github/mobile/core/commit/CommitUtils.bindCommitter:(Lorg/eclipse/egit/github/core/RepositoryCommit;Lcom/github/mobile/util/AvatarLoader;Landroid/widget/ImageView;)Landroid/widget/ImageView	8	5.75	1
com/github/mobile/core/commit/CommitUtils.isValidCommit:(Ljava/lang/String;)Z	1	1.00	1
com/github/mobile/core/commit/CommitUtils.formatStats:(Ljava/util/Collection;)Lcom/github/mobile/ui/StyledText	24	18.25	2
com/github/mobile/core/commit/CommitUtils.abbreviate:(Ljava/lang/String;)Ljava/lang/String	4	3.00	8
com/github/mobile/core/commit/CommitUtils.abbreviate:(Lorg/eclipse/egit/github/core/Commit;)Ljava/lang/String	1	1.00	1
com/github/mobile/core/commit/CommitUtils.abbreviate:(Lorg/eclipse/egit/github/core/RepositoryCommit;)Ljava/lang/String	1	1.00	1
com/github/mobile/core/commit/CommitUtils.getAuthor:(Lorg/eclipse/egit/github/core/RepositoryCommit;)Ljava/lang/String	8	7.00	2
com/github/mobile/core/commit/CommitUtils.getCommentCount:(Lorg/eclipse/egit/github/core/RepositoryCommit;)Ljava/lang/String	5	4.00	1
com/github/mobile/core/commit/CommitUtils.getCommitter:(Lorg/eclipse/egit/github/core/RepositoryCommit;)Ljava/lang/String	8	7.00	1
com/github/mobile/core/commit/CommitUtils.getName:(Ljava/lang/String;)Ljava/lang/String	7	5.50	5
com/github/mobile/core/commit/CommitUtils.getName:(Lorg/eclipse/egit/github/core/CommitFile;)Ljava/lang/String	1	1.00	1
com/github/mobile/core/commit/CommitUtils.getAuthorDate:(Lorg/eclipse/egit/github/core/RepositoryCommit;)Ljava/util/Date	5	4.50	2
com/github/mobile/core/commit/CommitUtils.getCommitterDate:(Lorg/eclipse/egit/github/core/RepositoryCommit;)Ljava/util/Date	5	4.50	1
com/github/mobile/core/commit/FullCommit.<init>:(Lorg/eclipse/egit/github/core/RepositoryCommit;)V	8	5.75	1
com/github/mobile/core/commit/FullCommit.<init>:(Lorg/eclipse/egit/github/core/RepositoryCommit;Ljava/util/Collection;)V	24	11.06	1
